status,book_id,book_title,book_author,source,source_id,match_score,matched_title,matched_author,cover_url,isbn_10,isbn_13,fields_to_update
updated,cb4dcd7d-b40a-4364-aae4-c9b4c471a2b6,How to Change Your Mind,Michael Pollan,google_books,3vk5DwAAQBAJ,1.0,How to Change Your Mind,Michael Pollan,https://books.google.com/books/content?id=3vk5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0525558942,9780525558941,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,3e8ede8c-da9a-4baa-9e0d-55d70352434b,The Lean Startup,Eric Ries,google_books,tvfyz-4JILwC,1.0,The Lean Startup,Eric Ries,https://books.google.com/books/content?id=tvfyz-4JILwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,030788791X,9780307887917,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,9a1cb56a-30ce-434a-8c98-6a5e92649806,Siddhartha,Hermann Hesse,google_books,KPV_zgEACAAJ,1.0,Siddhartha,Hermann Hesse,https://books.google.com/books/content?id=KPV_zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0760383065,9798519889971,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,4e75618d-02b6-4a55-9f26-975064dd353e,Good To Great,Jim Collins,google_books,7io-2eqxSS0C,1.0,Good to Great,Jim Collins,https://books.google.com/books/content?id=7io-2eqxSS0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0062119206,9780062119209,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,f8a22b78-2869-4809-a3b9-0cf6cdc0be95,The Selfish Gene,Richard Dawkins,google_books,ekonDAAAQBAJ,1.0,The Selfish Gene,Richard Dawkins,https://books.google.com/books/content?id=ekonDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0198788606,9780198788607,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,532206d3-c3de-41ac-8e13-daffffb97219,Range,David Epstein,open_library,/works/OL20803380W,1.0,Range,David Epstein,https://covers.openlibrary.org/b/id/10101241-L.jpg,0593084497,9780593084496,cover_image_url | description | isbn_10 | isbn_13 | language | last_enriched_at | open_library_id | page_count | publisher
updated,1cf44c77-9eba-47a6-b007-b60d716217b4,Outliers,Malcolm Gladwell,google_books,ialrgIT41OAC,1.0,Outliers,Malcolm Gladwell,https://books.google.com/books/content?id=ialrgIT41OAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,014190349X,9780141903491,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,6bd3182a-051d-455b-974e-22ce15ae9947,Why We Sleep,Matthew Walker,google_books,8bSuDgAAQBAJ,1.0,Why We Sleep,Matthew Walker,https://books.google.com/books/content?id=8bSuDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1501144332,9781501144332,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,ae509c3e-5ea0-4a68-8e41-96c12f78826a,"""Surely You're Joking, Mr. Feynman!""",Richard P. Feynman,google_books,Dl2NEAAAQBAJ,1.0,"Surely You're Joking, Mr. Feynman!",Richard P Feynman,https://books.google.com/books/content?id=Dl2NEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0393355624,9780393355628,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,34ca6298-5bc2-4920-8671-1440afcabe77,Dune,Frank Herbert,open_library,/works/OL893415W,1.0,Dune,Frank Herbert,https://covers.openlibrary.org/b/id/11481354-L.jpg,8466342699,9788466342698,cover_image_url | description | isbn_10 | isbn_13 | language | last_enriched_at | open_library_id | page_count | publisher
