status,book_id,book_title,book_author,source,source_id,match_score,matched_title,matched_author,cover_url,isbn_10,isbn_13,fields_to_update
updated,5b25df90-efea-4b19-9584-16e90a565bf8,Sapiens,Yuval Noah Harari,open_library,/works/OL17075811W,1.0,Sapiens,Yuval Noah Harari,https://covers.openlibrary.org/b/id/8634250-L.jpg,8499924743,9788499924748,isbn_10 | isbn_13 | language | last_enriched_at | open_library_id | page_count | publisher
updated,79351b3e-8d2a-42e1-94d2-58825ac94697,Man's Search for Meaning,Viktor E. Frankl,google_books,8SERAAAAQBAJ,1.0,Man's Search for Meaning,Viktor E. Frankl,https://books.google.com/books/content?id=8SERAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0807014281,9780807014288,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,c81172aa-945c-43da-a88c-74e9f5ffa7c6,"Thinking, Fast and Slow",Daniel Kahneman,google_books,2EWNEAAAQBAJ,1.0,"Thinking, Fast and Slow",Daniel Kahneman,https://books.google.com/books/content?id=2EWNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0385676530,9780385676533,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,fdfe50c1-f863-454c-9af8-4a7baed75e3f,Zero to One,Peter Thiel,google_books,DOHZzwEACAAJ,1.0,Zero To One,Peter Thiel,https://books.google.com/books/content?id=ZH4oAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,6020321487,9786020321486,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,cabe931d-8c20-4f1f-b95e-fdd97a736482,Principles,Ray Dalio,google_books,6LGuDgAAQBAJ,1.0,Principles,Ray Dalio,https://books.google.com/books/content?id=6LGuDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1501124056,9781501124051,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,2dcd25c2-6772-40ec-93d2-8b70fa61e954,The Hard Thing About Hard Things,Ben Horowitz,google_books,620pAgAAQBAJ,1.0,The Hard Thing About Hard Things,Ben Horowitz,https://books.google.com/books/content?id=620pAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0062273213,9780062273215,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,dd34e127-3607-4438-9933-7be33bfb3396,Atomic Habits,James Clear,google_books,tVX00AEACAAJ,1.0,Atomic Habits,James Clear,https://books.google.com/books/content?id=tVX00AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1804220205,9781804220207,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,b09015f3-80f4-4d11-9aa4-6efac65ad544,Shoe Dog,Phil Knight,google_books,wO3PCgAAQBAJ,1.0,Shoe Dog,Phil Knight,https://books.google.com/books/content?id=wO3PCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1501135937,9781501135934,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,e3b1c724-3586-44e4-8ac8-6838680324ff,The 4-Hour Workweek,Tim Ferriss,google_books,9sqoswEACAAJ,1.0,The 4-Hour Workweek,Tim Ferriss,https://books.google.com/books/content?id=9sqoswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1973926598,9781973926597,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,54844719-eef4-4215-80e4-a5102f835b78,The Alchemist,Paulo Coelho,google_books,u3tlMwEACAAJ,1.0,The Alchemist,Paulo Coelho,https://books.google.com/books/content?id=FEL8DlqjYEkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,184046805X,9781840468052,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,6b8b48d1-c705-4b16-a527-30f18727791a,Atlas Shrugged,Ayn Rand,google_books,KiiTEAAAQBAJ,1.0,Atlas Shrugged,Ayn Rand,https://books.google.com/books/content?id=KiiTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0452011876,9780452011878,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,2fc0a1e1-4718-4db9-91bf-5338ba6e43ff,How to Win Friends and Influence People,Dale Carnegie,google_books,hCf-DwAAQBAJ,1.0,How to Win Friends and Influence People,Dale Carnegie,https://books.google.com/books/content?id=hCf-DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,8194790891,9788194790891,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,4a995e79-3ebe-42b3-b460-75ca700f933b,Meditations,Marcus Aurelius,google_books,VVsmU-4YwFsC,1.0,Meditations,Marcus Aurelius,https://books.google.com/books/content?id=VVsmU-4YwFsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1853264865,9781853264863,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,f9955e65-44be-487c-b27e-9adde882d39f,The Innovator's Dilemma,Clayton M. Christensen,google_books,BB-bcQAACAAJ,1.0,The Innovator's Dilemma,Clayton M. Christensen,https://books.google.com/books/content?id=BB-bcQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0062060244,9780062060242,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,b5f08cf0-a31d-427c-8b57-8981c0be9b9a,The War of Art,Steven Pressfield,google_books,sR3hAAAAQBAJ,1.0,The War of Art,Steven Pressfield,https://books.google.com/books/content?id=sR3hAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1936891042,9781936891047,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
no_match,1f567b7c-c44c-4951-8d6d-04d609204cb9,1984.0,George Orwell,,,,,,,,,
updated,69cca64d-9fac-4d1e-b470-f4ae0bd7ec14,Snow Crash,Neal Stephenson,google_books,mqpvVydYo-8C,1.0,Snow Crash,Neal Stephenson,https://books.google.com/books/content?id=mqpvVydYo-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,0553380958,9780553380958,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,338f5e48-24cb-4e5b-9e54-0163f8ec9d06,The Four Agreements,Don Miguel Ruiz,google_books,hzVxiw2DiOsC,1.0,The Four Agreements,Don Miguel Ruiz,https://books.google.com/books/content?id=hzVxiw2DiOsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1934408018,9781934408018,google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
