status,object_path,filename,public_url,book_id,book_title,book_author,old_cover_image_url
updated,1 2 3 Make a s'more with me.png,1 2 3 Make a s'more with me.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/1%202%203%20Make%20a%20s%27more%20with%20me.png,bbffc6f7-1094-4092-8227-563b17a08679,1 2 3 Make a s'more with me,Elizabeth Gauthier,1 2 3 Make a s'more with me.png
updated,100 Classic Hikes Colorado.png,100 Classic Hikes Colorado.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/100%20Classic%20Hikes%20Colorado.png,92325277-6f11-4e2d-b0e3-9f8da2158570,100 Classic Hikes Colorado,Scott Warren,100 Classic Hikes Colorado.png
updated,100 Dives of a Lifetime.png,100 Dives of a Lifetime.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/100%20Dives%20of%20a%20Lifetime.png,9cb8c9c8-436a-487d-b979-e97862e41c15,100 Dives of a Lifetime,Carrie Miller,100 Dives of a Lifetime.png
updated,19141918.png,19141918.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/19141918.png,e5a884a4-841f-4dd0-b1ad-9c07fb60a640,19141918.0,D. Stevenson,19141918.png
updated,4 A.M. Breakthrough.png,4 A.M. Breakthrough.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/4%20A.M.%20Breakthrough.png,0ee6b97a-a7a2-4bdc-ae00-c7a8d49e9b70,4 A.M. Breakthrough,Brian Kiteley,4 A.M. Breakthrough.png
updated,50 Artists You Should Know.png,50 Artists You Should Know.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/50%20Artists%20You%20Should%20Know.png,9dbdbc00-fe28-42e9-8c5f-f9b0078083b2,50 Artists You Should Know,Thomas Koester,50 Artists You Should Know.png
updated,96 Great Interview Questions to Ask Before You Hire.png,96 Great Interview Questions to Ask Before You Hire.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/96%20Great%20Interview%20Questions%20to%20Ask%20Before%20You%20Hire.png,fc54b972-03af-4563-a9e5-17bb53ecc96b,96 Great Interview Questions to Ask Before You Hire,Paul Falcone,96 Great Interview Questions to Ask Before You Hire.png
updated,A Big Mooncake for Little Star.png,A Big Mooncake for Little Star.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Big%20Mooncake%20for%20Little%20Star.png,67fa46e3-5ca2-4d75-a7ce-45154d1ef78c,A Big Mooncake for Little Star,Grace Lin,A Big Mooncake for Little Star.png
updated,A Billionaire Affair (Passion Grove).png,A Billionaire Affair (Passion Grove).png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Billionaire%20Affair%20%28Passion%20Grove%29.png,4f8f91f0-0679-45ca-bcaa-c872a0e8a402,A Billionaire Affair (Passion Grove),Niobia Bryant,A Billionaire Affair (Passion Grove).png
updated,A Boy Like You.png,A Boy Like You.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Boy%20Like%20You.png,46684888-ed0d-444c-8dda-c35526cd2ca8,A Boy Like You,Frank Murphy,A Boy Like You.png
updated,A Brief History of Seven Killings.png,A Brief History of Seven Killings.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Brief%20History%20of%20Seven%20Killings.png,4cd388ea-7853-4300-aed2-dbda8d5887ec,A Brief History of Seven Killings,Marlon James,A Brief History of Seven Killings.png
updated,A Court of Thorns and Roses.png,A Court of Thorns and Roses.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Court%20of%20Thorns%20and%20Roses.png,9a22703d-e439-417c-8a5d-8e116ab0c507,A Court of Thorns and Roses,Sarah J. Maas,A Court of Thorns and Roses.png
updated,A Field Guide to Medicinal Plants and Herbs of Eastern and Central North American.png,A Field Guide to Medicinal Plants and Herbs of Eastern and Central North American.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Field%20Guide%20to%20Medicinal%20Plants%20and%20Herbs%20of%20Eastern%20and%20Central%20North%20American.png,1079e6d0-12f0-4c85-96d1-d0215f9b0626,A Field Guide to Medicinal Plants and Herbs of Eastern and Central North American,Steven Foster,A Field Guide to Medicinal Plants and Herbs of Eastern and Central North American.png
updated,A Fish Out of Water.png,A Fish Out of Water.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Fish%20Out%20of%20Water.png,485ff6d0-7ecd-4de6-a71b-60bee8e54d91,A Fish Out of Water,Helen Palmer,A Fish Out of Water.png
updated,A Fortunate Life.png,A Fortunate Life.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Fortunate%20Life.png,88760c34-17a7-4799-9c13-a872dfe0610b,A Fortunate Life,A. B. Facey,A Fortunate Life.png
updated,A Grand Bed Adventure.png,A Grand Bed Adventure.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Grand%20Bed%20Adventure.png,b597d452-73ee-4a9e-8496-f66081af391e,A Grand Bed Adventure,A. M. Marcus,A Grand Bed Adventure.png
updated,A History of New York in 101 Objects.png,A History of New York in 101 Objects.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20History%20of%20New%20York%20in%20101%20Objects.png,9b217ff0-2c6c-4c59-96b2-e903c66a3272,A History of New York in 101 Objects,Sam Roberts,A History of New York in 101 Objects.png
updated,A Kid's Guide to San Francisco.png,A Kid's Guide to San Francisco.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Kid%27s%20Guide%20to%20San%20Francisco.png,361a174d-ba54-4024-aaa8-e5bc48b23f81,A Kid's Guide to San Francisco,Sara Day,A Kid's Guide to San Francisco.png
updated,A Long Petal of the Sea.png,A Long Petal of the Sea.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Long%20Petal%20of%20the%20Sea.png,2e8dd5e3-e8dd-41a0-8088-8cc0b3c263bc,A Long Petal of the Sea,Isabel Allende,A Long Petal of the Sea.png
updated,A New History of Western Philosophy.png,A New History of Western Philosophy.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20New%20History%20of%20Western%20Philosophy.png,0e122bea-63c0-4424-a702-a393b12ce074,A New History of Western Philosophy,Anthony Kenny,A New History of Western Philosophy.png
updated,A Soldier of the Great War.png,A Soldier of the Great War.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/A%20Soldier%20of%20the%20Great%20War.png,ea24b86f-d5d7-4754-8fd5-0e452c05d501,A Soldier of the Great War,Mark Helprin,A Soldier of the Great War.png
