object_path,filename,public_url,status
101 Things I Learned in Architecture School.png,101 Things I Learned in Architecture School.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/101%20Things%20I%20Learned%20in%20Architecture%20School.png,no_matching_book_filename
3D Game Programming for Kids.png,3D Game Programming for Kids.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/3D%20Game%20Programming%20for%20Kids.png,no_matching_book_filename
An Introduction to Programming in Go.png,An Introduction to Programming in Go.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/An%20Introduction%20to%20Programming%20in%20Go.png,no_matching_book_filename
Artificial Intelligence.png,Artificial Intelligence.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Artificial%20Intelligence.png,no_matching_book_filename
Atomic Habits.png,Atomic Habits.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Atomic%20Habits.png,no_matching_book_filename
Discovering Modern C++.png,Discovering Modern C++.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Discovering%20Modern%20C%2B%2B.png,no_matching_book_filename
Programming Scala.png,Programming Scala.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Programming%20Scala.png,no_matching_book_filename
Programs and Manifestoes on 20thCentury Architecture.png,Programs and Manifestoes on 20thCentury Architecture.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Programs%20and%20Manifestoes%20on%2020thCentury%20Architecture.png,no_matching_book_filename
Start with Why.png,Start with Why.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/Start%20with%20Why.png,no_matching_book_filename
The 7 Habits of Highly Effective People.png,The 7 Habits of Highly Effective People.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%207%20Habits%20of%20Highly%20Effective%20People.png,no_matching_book_filename
The Architecture of Madness.png,The Architecture of Madness.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Architecture%20of%20Madness.png,no_matching_book_filename
The Courage to Be Disliked.png,The Courage to Be Disliked.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Courage%20to%20Be%20Disliked.png,no_matching_book_filename
The Psychology of Money.png,The Psychology of Money.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Psychology%20of%20Money.png,no_matching_book_filename
The Rational Optimist.png,The Rational Optimist.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Rational%20Optimist.png,no_matching_book_filename
The Selfish Gene.png,The Selfish Gene.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Selfish%20Gene.png,no_matching_book_filename
